transaction_id,transaction_date,customer_id,product_id,region,net_sales,order_class,price_tier
TXN-001,2024-01-05,C001,P101,North,59.98,Standard,Mid-range
TXN-002,2024-01-05,C002,P102,South,139.99,Standard,Premium
TXN-003,2024-01-06,C003,P103,North,29.97,Micro,Budget
TXN-004,2024-01-06,C001,P101,East,24.99,Micro,Mid-range
TXN-005,2024-01-07,C004,P104,South,24.95,Micro,Budget
TXN-006,2024-01-07,C005,P102,West,279.98,Enterprise,Premium
TXN-007,2024-01-08,C002,P105,North,299.99,Enterprise,Luxury
TXN-008,2024-01-08,C003,P103,East,37.96,Micro,Budget
TXN-009,2024-01-09,C006,P101,South,59.98,Standard,Mid-range
TXN-010,2024-01-09,C001,P104,West,44.90,Micro,Budget
TXN-011,2024-01-10,C007,P102,North,149.99,Standard,Premium
TXN-012,2024-01-10,C004,P105,East,584.98,Enterprise,Luxury
TXN-013,2024-01-11,C005,P103,South,59.94,Standard,Budget
TXN-014,2024-01-11,C008,P101,West,89.97,Standard,Mid-range
TXN-015,2024-01-12,C002,P104,North,39.92,Micro,Budget
TXN-016,2024-01-12,C006,P102,South,139.99,Standard,Premium
TXN-017,2024-01-13,C009,P105,East,274.99,Enterprise,Luxury
TXN-018,2024-01-13,C003,P101,West,59.98,Standard,Mid-range
TXN-019,2024-01-14,C007,P103,North,49.95,Micro,Budget
TXN-020,2024-01-14,C010,P104,South,14.97,Micro,Budget
